flight_connection_id,ops_fid1,flight_id1,flight_id2,f1_sch_arr,f2_sch_dep,pax_sch_layover,conn1_num_passengers,conn1_min_mct,conn1_dest_cd,conn1_min_mct_sec,conn1_orig_cd,ops_fid2
1774FAT2025-12-03_UA_2058,UA_1774_2025-12-03_FAT_DEN_0_0,1774FAT2025-12-03,2058DEN2025-12-03,1764775800,1764781500,5700,2,0,EWR,0,DEN,
1774FAT2025-12-03_UA_5495,UA_1774_2025-12-03_FAT_DEN_0_0,1774FAT2025-12-03,5495DEN2025-12-03,1764775800,1764786300,10500,1,0,MOT,0,DEN,
2077EUG2025-12-03_UA_325,UA_2077_2025-12-03_EUG_SFO_0_0,2077EUG2025-12-03,325SFO2025-12-04,1764805620,1764813840,8220,2,0,BUR,0,SFO,
2248COS2025-12-02_UA_2271,UA_2248_2025-12-02_COS_DEN_0_0,2248COS2025-12-02,2271DEN2025-12-02,1764683880,1764687900,4020,15,0,SEA,0,DEN,
1774FAT2025-12-03_UA_5096,UA_1774_2025-12-03_FAT_DEN_0_0,1774FAT2025-12-03,5096DEN2025-12-03,1764775800,1764785700,9900,1,0,COD,0,DEN,
1774FAT2025-12-03_UA_2087,UA_1774_2025-12-03_FAT_DEN_0_0,1774FAT2025-12-03,2087DEN2025-12-03,1764775800,1764780300,4500,5,0,IAD,0,DEN,
722FLL2025-12-04_UA_763,UA_722_2025-12-04_FLL_IAH_0_0,722FLL2025-12-04,763IAH2025-12-04,1764867300,1764880440,13140,1,45,YEG,2700,IAH,
722FLL2025-12-04_UA_468,UA_722_2025-12-04_FLL_IAH_0_0,722FLL2025-12-04,468IAH2025-12-04,1764867300,1764871200,3900,8,45,SAT,2700,IAH,
722FLL2025-12-04_UA_278,UA_722_2025-12-04_FLL_IAH_0_0,722FLL2025-12-04,278IAH2025-12-04,1764867300,1764871980,4680,3,45,PHX,2700,IAH,
557CHS2025-12-04_UA_1306,UA_557_2025-12-04_CHS_DEN_0_0,557CHS2025-12-04,1306DEN2025-12-05,1764897000,1764900300,3300,2,0,JAC,0,DEN,
557CHS2025-12-04_UA_696,UA_557_2025-12-04_CHS_DEN_0_0,557CHS2025-12-04,696DEN2025-12-05,1764897000,1764901500,4500,1,0,FCA,0,DEN,
557CHS2025-12-04_UA_2681,UA_557_2025-12-04_CHS_DEN_0_0,557CHS2025-12-04,2681DEN2025-12-05,1764897000,1764901500,4500,3,0,SFO,0,DEN,
557CHS2025-12-04_UA_1152,UA_557_2025-12-04_CHS_DEN_0_0,557CHS2025-12-04,1152DEN2025-12-05,1764897000,1764900600,3600,2,0,MTJ,0,DEN,
