ops_fid,flight_id,aid,sch_date,sch_st_dep,sch_st_arr,epoch_sch_dep,epoch_sch_arr,prev_ops_fid,next_ops_fid,gmt_offset_dep,gmt_offset_arr,epoch_est_dep,epoch_est_arr,turn,ops_mst_calc,sch_mst_calc,total_seat,prev_turn_time,is_mx,total_pax,J_pax,O_pax,Y_pax,num_connx_pax,delay_penalty,cancel_penalty,swap_options,prev_station,prev_aid
UA_1547_2025-12-03_DEN_FCA_0_0,1547DEN2025-12-03,253,2025-12-03,DEN,FCA,1764785700,1764794100,UA_1500_2025-12-03_CID_DEN_0_0,UA_2121_2025-12-03_FCA_DEN_0_0,-7,-7,1764785700,1764794100,3420,3060,3060,166,3060,false,152,14,0,138,0,152,3283200,"[UA_1350_2025-12-03_DEN_DFW_0_0, UA_2149_2025-12-03_DEN_SMF_0_0, UA_1362_2025-12-03_DEN_BWI_0_0, UA_1874_2025-12-03_DEN_YYZ_0_0, UA_1451_2025-12-03_DEN_JAX_0_0, UA_2257_2025-12-03_DEN_PVR_0_0, UA_1311_2025-12-03_DEN_SAT_0_0, UA_2265_2025-12-03_DEN_DSM_0_0, UA_1476_2025-12-03_DEN_TUS_0_0, UA_639_2025-12-03_DEN_MSO_0_0, UA_1217_2025-12-03_DEN_DRO_0_0, UA_1294_2025-12-03_DEN_PSP_0_0, UA_1575_2025-12-03_DEN_PHL_0_0, UA_535_2025-12-03_DEN_SJC_0_0, UA_323_2025-12-03_DEN_TPA_0_0, UA_741_2025-12-03_DEN_BZN_0_0, UA_295_2025-12-03_DEN_GEG_0_0, UA_1460_2025-12-03_DEN_CMH_0_0, UA_2742_2025-12-03_DEN_TUS_0_0, UA_430_2025-12-03_DEN_ONT_0_0, UA_318_2025-12-03_DEN_EUG_0_0, UA_1415_2025-12-03_DEN_SMF_0_0]",DEN,253
UA_2121_2025-12-03_FCA_DEN_0_0,2121FCA2025-12-03,253,2025-12-03,FCA,DEN,1764797820,1764805860,UA_1547_2025-12-03_DEN_FCA_0_0,UA_2350_2025-12-03_DEN_SYR_0_0,-7,-7,1764797820,1764805860,3060,3060,3060,166,3060,false,156,11,0,145,136,156,3369600,,FCA,253
UA_2350_2025-12-03_DEN_SYR_0_0,2350DEN2025-12-03,253,2025-12-03,DEN,SYR,1764809700,1764821700,UA_2121_2025-12-03_FCA_DEN_0_0,UA_250_2025-12-04_SYR_DEN_0_0,-7,-5,1764809700,1764821700,3420,3060,3060,166,3060,false,138,13,0,125,0,138,2980800,"[UA_331_2025-12-03_DEN_MIA_0_0, UA_476_2025-12-03_DEN_YEG_0_0, UA_719_2025-12-03_DEN_RNO_0_0, UA_2187_2025-12-03_DEN_SJC_0_0, UA_756_2025-12-03_DEN_FAT_0_0, UA_1153_2025-12-03_DEN_ELP_0_0, UA_1422_2025-12-03_DEN_STL_0_0, UA_507_2025-12-03_DEN_RSW_0_0, UA_1110_2025-12-03_DEN_SAT_0_0, UA_431_2025-12-03_DEN_GJT_0_0, UA_2324_2025-12-03_DEN_CID_0_0, UA_423_2025-12-03_DEN_GRR_0_0, UA_1236_2025-12-03_DEN_PHX_0_0, UA_1374_2025-12-03_DEN_FLL_0_0, UA_1969_2025-12-03_DEN_CMH_0_0, UA_2644_2025-12-03_DEN_PSP_0_0, UA_1942_2025-12-03_DEN_AUS_0_0, UA_2076_2025-12-03_DEN_MSP_0_0, UA_680_2025-12-03_DEN_ORF_0_0]",DEN,253
UA_250_2025-12-04_SYR_DEN_0_0,250SYR2025-12-04,253,2025-12-04,SYR,DEN,1764853200,1764867960,UA_2350_2025-12-03_DEN_SYR_0_0,UA_318_2025-12-04_DEN_EUG_0_0,-5,-7,1764853200,1764867960,5100,3060,3060,166,3060,false,146,14,0,132,81,146,3153600,,SYR,253
UA_318_2025-12-04_DEN_EUG_0_0,318DEN2025-12-04,253,2025-12-04,DEN,EUG,1764872100,1764882420,UA_250_2025-12-04_SYR_DEN_0_0,UA_2077_2025-12-04_EUG_SFO_0_0,-7,-8,1764872100,1764882420,3420,3060,3060,166,3060,false,89,11,0,78,0,89,1922400,"[UA_1575_2025-12-04_DEN_PHL_0_0, UA_2637_2025-12-04_DEN_GRR_0_0, UA_338_2025-12-04_DEN_BDL_0_0, UA_1003_2025-12-04_DEN_CHS_0_0, UA_1460_2025-12-04_DEN_CMH_0_0, UA_221_2025-12-04_DEN_ELP_0_0, UA_1415_2025-12-04_DEN_SMF_0_0, UA_639_2025-12-04_DEN_MSO_0_0, UA_1350_2025-12-04_DEN_DFW_0_0, UA_1547_2025-12-04_DEN_FCA_0_0, UA_2265_2025-12-04_DEN_DSM_0_0, UA_445_2025-12-04_DEN_OMA_0_0, UA_1217_2025-12-04_DEN_DRO_0_0, UA_1235_2025-12-04_DEN_MSN_0_0, UA_1586_2025-12-04_DEN_OMA_0_0, UA_741_2025-12-04_DEN_BZN_0_0, UA_2742_2025-12-04_DEN_TUS_0_0, UA_2459_2025-12-04_DEN_YYC_0_0, UA_1476_2025-12-04_DEN_TUS_0_0]",DEN,253
UA_2077_2025-12-04_EUG_SFO_0_0,2077EUG2025-12-04,253,2025-12-04,EUG,SFO,1764886140,1764892020,UA_318_2025-12-04_DEN_EUG_0_0,UA_2611_2025-12-04_SFO_PDX_0_0,-8,-8,1764886140,1764892020,3060,3060,3060,166,3060,false,55,7,0,48,29,55,1188000,,EUG,253
UA_2611_2025-12-04_SFO_PDX_0_0,2611SFO2025-12-04,253,2025-12-04,SFO,PDX,1764895800,1764902460,UA_2077_2025-12-04_EUG_SFO_0_0,UA_2615_2025-12-04_PDX_SFO_0_0,-8,-8,1764895800,1764902460,3420,3060,3060,166,3060,false,139,16,0,123,2,139,3002400,"[UA_2633_2025-12-04_SFO_SAN_0_0, UA_589_2025-12-04_SFO_SNA_0_0, UA_2623_2025-12-04_SFO_EUG_0_0, UA_369_2025-12-04_SFO_PHX_0_0, UA_2429_2025-12-04_SFO_YVR_0_0]",SFO,253
UA_2615_2025-12-04_PDX_SFO_0_0,2615PDX2025-12-04,253,2025-12-04,PDX,SFO,1764906180,1764912780,UA_2611_2025-12-04_SFO_PDX_0_0,MX_253_2025-12-04_SFO_SFO_false,-8,-8,1764906180,1764912780,3060,3060,3060,166,3060,false,148,12,0,136,78,148,3196800,,PDX,253
MX_253_2025-12-04_SFO_SFO_false,MX_253_2025-12-04_SFO_SFO_false,253,2025-12-04,SFO,SFO,1764912780,1764923580,UA_2615_2025-12-04_PDX_SFO_0_0,,,,1764912780,1764923580,5100,5100,5100,,0,true,,,,,,,,,SFO,253
UA_1891_2025-12-02_MSP_DEN_0_0,1891MSP2025-12-02,255,2025-12-02,MSP,DEN,1764687600,1764695880,,UA_671_2025-12-02_DEN_SBA_0_0,-6,-7,1764687600,1764695880,5100,3060,3060,166,3060,false,138,14,0,124,120,138,2980800,,,0000
UA_671_2025-12-02_DEN_SBA_0_0,671DEN2025-12-02,255,2025-12-02,DEN,SBA,1764699960,1764709680,UA_1891_2025-12-02_MSP_DEN_0_0,UA_2305_2025-12-02_SBA_SFO_0_0,-7,-8,1764699960,1764709680,3420,3060,3060,166,3060,false,148,16,0,132,0,148,3196800,"[UA_1460_2025-12-02_DEN_CMH_0_0, UA_2273_2025-12-02_DEN_MSY_0_0, UA_1003_2025-12-02_DEN_CHS_0_0, UA_1415_2025-12-02_DEN_SMF_0_0, UA_1476_2025-12-02_DEN_TUS_0_0, UA_2459_2025-12-02_DEN_YYC_0_0, UA_430_2025-12-02_DEN_ONT_0_0, UA_1575_2025-12-02_DEN_PHL_0_0, UA_703_2025-12-02_DEN_BIL_0_0, UA_424_2025-12-02_DEN_CID_0_0, UA_1311_2025-12-02_DEN_SAT_0_0, UA_221_2025-12-02_DEN_ELP_0_0, UA_1547_2025-12-02_DEN_FCA_0_0, UA_1451_2025-12-02_DEN_JAX_0_0, UA_375_2025-12-02_DEN_DCA_0_0, UA_2255_2025-12-02_DEN_IND_0_0, UA_1125_2025-12-02_DEN_BOI_0_0, UA_2637_2025-12-02_DEN_GRR_0_0, UA_338_2025-12-02_DEN_BDL_0_0, UA_295_2025-12-02_DEN_GEG_0_0, UA_1294_2025-12-02_DEN_PSP_0_0, UA_323_2025-12-02_DEN_TPA_0_0, UA_2257_2025-12-02_DEN_PVR_0_0, UA_318_2025-12-02_DEN_EUG_0_0, UA_741_2025-12-02_DEN_BZN_0_0]",DEN,255
UA_2305_2025-12-02_SBA_SFO_0_0,2305SBA2025-12-02,255,2025-12-02,SBA,SFO,1764713400,1764717420,UA_671_2025-12-02_DEN_SBA_0_0,UA_592_2025-12-02_SFO_AUS_0_0,-8,-8,1764713400,1764717420,3060,3060,3060,166,3060,false,114,14,0,100,69,114,2462400,[UA_616_2025-12-02_SBA_DEN_0_0],SBA,255
UA_592_2025-12-02_SFO_AUS_0_0,592SFO2025-12-02,255,2025-12-02,SFO,AUS,1764721200,1764733800,UA_2305_2025-12-02_SBA_SFO_0_0,MX_255_2025-12-02_AUS_AUS_false,-8,-6,1764721200,1764733800,3420,3060,3060,166,3060,false,114,15,0,99,0,114,2462400,"[UA_2623_2025-12-02_SFO_EUG_0_0, UA_1995_2025-12-02_SFO_LAS_0_0, UA_2633_2025-12-02_SFO_SAN_0_0, UA_2391_2025-12-02_SFO_SAN_0_0, UA_589_2025-12-02_SFO_SNA_0_0, UA_751_2025-12-02_SFO_LAS_0_0, UA_1561_2025-12-02_SFO_PHX_0_0]",SFO,255
MX_255_2025-12-02_AUS_AUS_false,MX_255_2025-12-02_AUS_AUS_false,255,2025-12-02,AUS,AUS,1764733800,1764751800,UA_592_2025-12-02_SFO_AUS_0_0,UA_1668_2025-12-03_AUS_SFO_0_0,,,1764733800,1764751800,5100,5100,5100,,0,true,,,,,,,,,AUS,255
UA_1668_2025-12-03_AUS_SFO_0_0,1668AUS2025-12-03,255,2025-12-03,AUS,SFO,1764776940,1764791520,MX_255_2025-12-02_AUS_AUS_false,UA_2391_2025-12-03_SFO_SAN_0_0,-6,-8,1764776940,1764791520,5100,3060,3060,166,3060,false,103,14,0,89,12,103,2224800,[UA_595_2025-12-03_AUS_DEN_0_0],AUS,255
UA_2391_2025-12-03_SFO_SAN_0_0,2391SFO2025-12-03,255,2025-12-03,SFO,SAN,1764797040,1764802920,UA_1668_2025-12-03_AUS_SFO_0_0,UA_2117_2025-12-03_SAN_SFO_0_0,-8,-8,1764797040,1764802920,3420,3060,3060,166,3060,false,165,15,0,150,3,165,3564000,"[UA_369_2025-12-03_SFO_PHX_0_0, UA_1259_2025-12-03_SFO_LAS_0_0, UA_2623_2025-12-03_SFO_EUG_0_0, UA_2177_2025-12-03_SFO_SAN_0_0, UA_592_2025-12-03_SFO_AUS_0_0, UA_1881_2025-12-03_SFO_SJD_0_0, UA_1668_2025-12-03_SFO_PDX_0_0, UA_1578_2025-12-03_SFO_SBA_0_0]",SFO,255
UA_2117_2025-12-03_SAN_SFO_0_0,2117SAN2025-12-03,255,2025-12-03,SAN,SFO,1764806880,1764813000,UA_2391_2025-12-03_SFO_SAN_0_0,UA_1995_2025-12-03_SFO_LAS_0_0,-8,-8,1764806880,1764813000,3060,3060,3060,166,3060,false,123,16,0,107,37,123,2656800,[UA_465_2025-12-03_SAN_IAH_0_0],SAN,255
