ops_fid,flight_id,aid,sch_date,sch_st_dep,sch_st_arr,epoch_sch_dep,epoch_sch_arr,prev_ops_fid,next_ops_fid,gmt_offset_dep,gmt_offset_arr,epoch_est_dep,epoch_est_arr,turn,ops_mst_calc,sch_mst_calc,total_seat,prev_turn_time,is_mx,total_pax,J_pax,O_pax,Y_pax,num_connx_pax,delay_penalty,cancel_penalty,swap_options,prev_station,prev_aid
UA_1710_2025-09-21_ORF_ORD_0_0,1710ORF2025-09-21,4896,2025-09-21,ORF,ORD,1758488400,1758497100,UA_442_2025-09-21_ORD_ORF_0_0,UA_739_2025-09-21_ORD_SLC_0_0,-4,-5,1758488400,1758497100,2520,2580,2580,126,2580,false,120,9,0,111,60,120,2592000,,ORF,4896
UA_739_2025-09-21_ORD_SLC_0_0,739ORD2025-09-21,4896,2025-09-21,ORD,SLC,1758502800,1758515760,UA_1710_2025-09-21_ORF_ORD_0_0,,-5,-6,1758502800,1758515760,2880,2580,2580,126,2580,false,117,8,0,109,0,117,2527200,[UA_661_2025-09-21_ORD_DSM_0_0],ORD,4896
UA_1249_2025-09-19_GRR_ORD_0_0,1249GRR2025-09-19,4897,2025-09-19,GRR,ORD,1758288600,1758292860,,UA_442_2025-09-19_ORD_ORF_0_0,-4,-5,1758288600,1758292860,5100,2580,2580,126,2580,false,120,11,0,109,117,120,2592000,,,0000
UA_442_2025-09-19_ORD_ORF_0_0,442ORD2025-09-19,4897,2025-09-19,ORD,ORF,1758298800,1758307200,UA_1249_2025-09-19_GRR_ORD_0_0,UA_1710_2025-09-19_ORF_ORD_0_0,-5,-4,1758298800,1758307200,2880,2580,2580,126,2580,false,126,11,0,115,0,126,2721600,"[UA_1297_2025-09-19_ORD_MSP_0_0, UA_1139_2025-09-19_ORD_DSM_0_0, UA_2329_2025-09-19_ORD_DTW_0_0]",ORD,4897
UA_1710_2025-09-19_ORF_ORD_0_0,1710ORF2025-09-19,4897,2025-09-19,ORF,ORD,1758315600,1758324300,UA_442_2025-09-19_ORD_ORF_0_0,UA_1069_2025-09-19_ORD_DTW_0_0,-4,-5,1758315600,1758324300,2520,2580,2580,126,2580,false,117,10,0,107,81,117,2527200,,ORF,4897
UA_1069_2025-09-19_ORD_DTW_0_0,1069ORD2025-09-19,4897,2025-09-19,ORD,DTW,1758329700,1758334920,UA_1710_2025-09-19_ORF_ORD_0_0,MX_4897_2025-09-19_DTW_DTW_false,-5,-4,1758329700,1758334920,2880,2580,2580,126,2580,false,109,9,0,100,0,109,2354400,"[UA_661_2025-09-19_ORD_DSM_0_0, UA_1991_2025-09-19_ORD_ABQ_0_0]",ORD,4897
MX_4897_2025-09-19_DTW_DTW_false,MX_4897_2025-09-19_DTW_DTW_false,4897,2025-09-19,DTW,DTW,1758334920,1758352920,UA_1069_2025-09-19_ORD_DTW_0_0,UA_1909_2025-09-20_DTW_ORD_0_0,,,1758334920,1758352920,5100,5100,5100,,0,true,,,,,,,,,DTW,4897
UA_1909_2025-09-20_DTW_ORD_0_0,1909DTW2025-09-20,4897,2025-09-20,DTW,ORD,1758366000,1758371220,MX_4897_2025-09-19_DTW_DTW_false,UA_1705_2025-09-20_ORD_BOI_0_0,-4,-5,1758366000,1758371220,5100,2580,2580,126,2580,false,97,9,0,88,72,97,2095200,,DTW,4897
UA_1705_2025-09-20_ORD_BOI_0_0,1705ORD2025-09-20,4897,2025-09-20,ORD,BOI,1758375900,1758389460,UA_1909_2025-09-20_DTW_ORD_0_0,UA_573_2025-09-20_BOI_ORD_0_0,-5,-6,1758375900,1758389460,2880,2580,2580,126,2580,false,93,12,0,81,0,93,2008800,"[UA_764_2025-09-20_ORD_YYC_0_0, UA_2164_2025-09-20_ORD_ABQ_0_0]",ORD,4897
UA_573_2025-09-20_BOI_ORD_0_0,573BOI2025-09-20,4897,2025-09-20,BOI,ORD,1758392820,1758405600,UA_1705_2025-09-20_ORD_BOI_0_0,UA_2259_2025-09-20_ORD_MSN_0_0,-6,-5,1758392820,1758405600,2520,2580,2580,126,2580,false,121,10,0,111,92,121,2613600,[UA_324_2025-09-20_BOI_SFO_0_0],BOI,4897
